m1,m2,m3
47,50,101
60756,80906,89774
849,2851,3703
125,162,176
58,247,290
3,5,22
260,356,466
34,50,185
923,1198,1270
7458,8533,8869
6,110,150
168,222,256
47,1198,2571
47,95,110
260,318,356
1199,111,541
260,296,318
50,318,923
353,551,589
48,364,551
10,370,1270
318,356,541
541,1212,1222
6,318,356
260,527,1198
47,165,296
34,62,356
2021,7842,53123
924,953,1201
110,260,318
1,377,588
50,58,194
28,36,39
10,2273,3793
21,50,60
1617,2359,3347
150,165,231
11,50,110
50,260,296
1,17,34
296,1206,1258
10,11,16
1,3,5
112,260,733
50,104,110
1,50,110
3147,47423,51931
1580,2115,2571
527,1097,1200
924,1204,1208
70,76,111
318,356,364
203,249,381
318,356,593
2542,3275,4011
19,47,231
1,50,235
7,32,39
41,111,527
527,858,58559
318,1304,32
293,356,593
1,50,260
16,266,318
55247,1682,2329
32,47,110
293,1527,8604
260,377,920
50,260,296
36,527,858
1,86,165
260,318,2571
1193,1206,1682
58,111,194
260,2078,3681
858,1136,1213
260,1196,1198
1036,1240,2791
164,246,260
318,593,1214
32,589,316
110,145,356
318,916,924
17,25,36
53,314,527
33679,260,318
1136,4973,5618
50,318,1193
3785,5048,5419
14,17,25
6,163,353
107,837,2572
2,34,110
32,110,318
25,29,162
1,34,50
593,858,1210
356,904,1036
150,153,163
1101,1958,2423
1093,1719,2318
3,47,223
16,18,296
357,595,745
47,50,293
318,2571,4896
2,11,62
82,509,541
25,36,62
1276,4973,7096
356,2959,3052
32,47,50
265,293,351
141718,8636,52722
32,260,296
367,541,1035
110,318,491
858,1213,1221
170,293,364
260,608,858
6,16,62
32,50,111
47,260,2329
356,608,1358
223,288,337
47,318,364
913,5060,55276
110,260,593
1197,1676,3556
110,225,292
1104,1214,1228
318,364,595
32,47,318
110,590,593
32,47,161
10,15,16
111,246,541
222,898,1019
260,1198,3753
6,150,293
2959,3361,3552
50,150,161
356,2144,4306
590,2329,4226
1,50,111
32,30803,7293
225,1376,1639
30816,40629,98491
610,750,1214
32,141,1356
1,104,788
47,111,750
4973,7361,55247
356,1097,1704
2502,2628,2879
21,154,296
527,785,2959
2490,2826,55391
1704,4246,47099
32,34,47
318,745,1148
16,17,36
1588,1608,1625
110,480,589
1197,1198,1291
1,50,588
223,318,353
608,750,858
3,5,62
34,318,48
1,25,29
3087,277,527
171,356,357
11,150,185
3594,3791,7169
10,47,110
1,296,318
318,357,457
34,110,161
260,1213,2959
11,34,356
16,18,296
110,377,457
4226,48780,58559
899,1658,3949
317,588,589
922,1199,1201
356,898,899
58559,527,54286
527,2324,4896
17,25,32
10,150,185
260,908,924
1090,7143,1035
50,235,296
150,364,733
293,296,541
32,36,47
25,527,541
39,260,296
1,25,34
6,246,293
110,296,590
47,1136,1222
71462,260,4896
1,17,25
2858,2949,1321
2028,2571,110
318,1198,1291
260,1196,1210
318,1704,2571
177593,183897,318
589,7147,8360
1059,1,17
50,318,1172
34,125,595
260,608,648
750,1673,1252
50,260,318
1,50,150
32,111,296
1220,106782,858
4973,8784,48394
39,289,356
69,104,223
47,104,170
47,356,778
50,260,1214
1,34,110
1527,6539,45722
589,1036,1200
296,318,1210
318,356,7361
1,24,48
25,62,150
1214,1278,1387
32,318,1193
1272,2023,2067
6,11,32
1,2,19
215,3910,4973
32,47,253
10,62,112
6,10,110
246,1189,3114
17,29,123
1,50,356
8961,147374,147382
32,47,110
318,345,1035
47,293,296
364,2321,6377
446,608,1225
296,356,527
344,420,1194
18,173,293
1288,3996,420
318,1197,2571
32,1584,1784
50,111,608
296,356,2194
