t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
1256,1278,1617,1732,2502,2542,3147,3253,3450,3671
80906,1704,112552,86345,46970,99114,115713,77455,318,0
5746,5181,2851,1587,7899,1275,1371,2105,0,0
910,1080,1077,1046,3851,2926,2843,2791,2599,2583
58,247,296,110,50,36,534,300,608,0
356,248,432,318,337,314,5,262,22,830
480,356,260,1584,2762,4993,1954,6539,7143,4370
357,185,231,593,480,377,296,11,21,186
923,1198,1270,2012,5447,5445,922,5965,5872,5843
8533,8869,49286,7169,63992,51705,94070,113275,69406,31685
529,150,110,1518,36,493,376,0,0,0
6942,3668,2717,2581,2572,2485,168,1721,63992,222
3578,1198,4148,3793,3753,3624,3827,3977,1173,3717
477,434,288,553,593,552,527,524,480,377
3578,152077,33493,1210,589,166528,260,1196,356,318
608,541,58559,1222,111,1260,50,1276,2019,3949
858,318,260,1210,1206,2571,1240,1221,1222,4993
1221,318,2959,3949,5008,2762,1207,1222,1227,7254
592,589,551,1291,1527,2723,1372,1374,1,783
1907,4306,2081,3751,2394,3159,2987,1025,3034,5618
1270,1722,47997,2011,7573,2706,3082,10,7570,1210
541,49272,1193,1952,107,4036,4848,1953,3996,6874
1212,3949,1258,1252,3265,7123,4235,1208,1237,1266
3147,318,4262,2686,64957,2028,296,608,50,1704
79132,260,187593,58559,4993,3578,2571,1198,527,122916
457,593,47,185,288,349,380,153,10,208
2478,3451,34,356,62,1584,3471,2407,3350,2100
53123,1240,38061,33794,5782,59315,59018,1610,589,7481
2028,953,82459,1250,1262,2872,6502,98961,1303,48774
111759,96821,95510,93510,91529,79132,68358,260,59315,33794
733,1036,588,377,1196,10,1356,1240,736,780
608,296,272,194,497,50,58,1391,527,529
914,838,613,337,509,446,428,356,1060,1245
8636,6874,6618,6539,6333,5349,3996,3793,45499,2006
62,339,21,11,342,236,252,222,237,231
2359,3363,1262,5312,1234,1086,1892,908,2794,6662
316,671,344,457,590,349,292,153,592,329
223,357,110,50,350,300,235,224,468,593
1200,1210,1221,1248,1291,1729,2571,608,50,260
281,17,306,307,308,314,318,337,364,491
2160,2712,104879,4848,4878,1206,296,99114,46723,4235
2990,550,1245,3082,1246,1265,2478,2989,1378,1379
419,374,364,355,3,575,588,661,1064,810
1210,1429,260,1552,95,494,836,849,667,648
2502,2580,2657,2694,543,2918,3147,3552,858,2083
364,595,50,110,111,300,0,0,0,0
47423,112552,33166,356,391,2028,117881,1961,97923,69712
5445,2617,1690,1625,8636,1356,1527,8371,5903,5349
1097,1200,2571,47099,79132,122920,110,70286,0,0
1251,1136,1199,26326,1252,1258,26258,7327,7396,1232
1500,1580,1674,1873,1953,1997,2194,7000,7438,7569
40583,95167,37733,63082,1704,588,364,356,318,134853
2686,1441,1256,1125,922,916,413,381,4019,0
17,469,454,296,50,47,0,0,0,0
3275,1275,2890,54286,2490,2407,2278,2580,0,0
231,344,11,296,493,317,39,69,333,410
595,593,527,1248,1221,1276,1284,1148,1304,1617
497,539,543,597,708,218,7,39,32,371
1674,1299,41,1263,1252,1222,2028,2067,3498,3448
6016,805,1242,1562,50,832,0,0,0,0
4226,3949,32,1208,30707,1090,4878,7361,6502,235
2023,174053,2571,6365,58559,172591,2959,168252,3147,33794
2078,1223,1198,1196,1148,38038,115617,111781,108932,106696
318,4235,1193,4380,1096,2427,1090,5010,2692,6385
48780,2959,2329,1682,7153,89774,2028,1246,318,46976
1284,5464,1206,110,296,47,32,529,903,111
27193,2571,6539,8605,5574,79132,5628,1580,1036,1291
122882,79132,260,49272,6539,6711,1408,920,93510,8968
260,2571,1196,541,553,593,296,1101,4643,4448
527,1959,4995,89492,529,37741,5995,55820,1272,1304
736,165,1101,86,95,1240,494,1036,647,648
2858,2427,2329,1210,1198,1196,912,589,457,648
99114,4979,2858,1682,1732,2028,1193,3535,1206,58047
3307,48516,2908,2300,1889,6787,6666,6993,7323,6016
4993,1291,1198,1196,44191,589,34405,3034,168,36519
48877,72129,1221,1206,63436,1089,55577,39446,296,31410
33794,8636,1196,5378,4993,3578,1198,1210,3996,2571
589,2571,2716,3868,8528,1198,3869,2000,1552,1370
164,1610,2947,1291,3104,1221,1218,246,260,1196
4878,6952,8798,8950,44665,47610,48780,80831,1214,318
480,457,329,377,288,165,161,153,592,380
356,6156,4367,6537,6539,2115,6548,1291,145,110
4973,924,48774,916,1682,7323,53318,2028,318,7153
318,1124,1096,356,926,412,446,800,509,608
1719,1140,1185,1237,1357,1643,314,1730,1694,1693
2571,7361,5418,648,318,260,4901,3793,4993,5445
1136,671,2300,1077,4023,4571,7022,2139,0,0
1193,318,6502,6870,48774,56782,55820,16,4963,3476
47736,92643,134847,132153,136834,140133,44851,131610,118834,5419
1358,613,58,25,17,14,1116,1137,766,1366
1198,1129,2571,858,5349,353,3703,3740,541,163
51662,35836,55282,2398,69757,327,1801,6383,1021,0
1265,1784,2,527,150,2872,34,2431,110,2797
587,356,282,266,225,337,0,0,0,0
25,29,7361,4235,162,1921,5015,6711,6502,4975
1188,2294,2289,34,1617,3060,50,296,3176,2174
3623,4270,4993,2571,1210,858,593,4299,4367,4386
74458,122926,164179,904,1036,122916,1258,122912,104841,152077
165,163,349,380,153,150,257,292,10,416
1101,1912,1777,1680,1441,1393,1500,1968,1278,1246
2318,2599,2959,2395,2997,3174,223,2762,2858,2908
296,586,344,593,500,237,539,158,39,21
2231,2194,593,5956,6016,4881,1732,6936,8376,1206
745,38038,4973,357,1148,5991,2671,6942,4306,1569
27773,32460,37731,53519,44665,52281,73017,5888,6016,6187
88125,81834,73017,72998,69844,2571,53125,8368,4896,7153
318,141,150,2,432,317,266,253,5,140
4973,3795,2571,2395,5303,4878,1684,5349,5380,5945
356,62,318,25,16,555,593,802,50,805
4973,47,6016,2788,1281,1279,608,296,910,1089
68157,8807,318,1020,81834,40815,8368,88125,1517,64839
50,6,16,593,0,0,0,0,0,0
916,932,943,1013,1014,1912,902,1183,1193,1230
54001,5349,122904,79702,260,1210,122882,122886,69844,0
1200,1240,1407,1610,32,3555,593,592,260,589
2006,1035,1101,3578,1544,2406,2115,161,30749,1291
527,300,272,266,253,249,515,356,587,41
1343,608,527,296,0,0,0,0,0,0
4369,86911,79091,72998,69122,68954,66511,51662,49272,138210
608,733,648,653,743,736,780,0,0,0
318,555,356,337,296,25,22,508,454,225
51540,48516,55820,1089,858,32,50,111,296,128360
112556,111759,99114,96829,85414,260,68554,2329,2959,593
356,3949,608,3252,2329,50,3147,318,296,5608
60950,3342,9010,26680,54190,100083,94959,2321,2571,4082
318,356,595,593,588,0,0,0,0,0
2763,910,1276,1747,1947,3671,3039,2915,2144,2100
260,940,593,608,1196,1407,1356,1291,1228,1036
3556,7143,2571,5952,2028,5010,1527,4993,2858,2890
225,253,165,161,153,592,434,380,316,329
1213,318,778,7361,64614,2858,2329,48780,1193,68237
4848,2858,364,6711,8638,7139,1088,7361,2291,2959
47,555,593,454,296,50,253,0,0,0
47,296,0,0,0,0,0,0,0,0
593,2391,2571,480,1200,1206,485,3996,161,4226
165,349,353,350,47,16,23,431,457,592
4993,541,111,246,1198,8228,608,5385,3741,1301
898,671,0,0,0,0,0,0,0,0
60684,1198,91529,3753,122886,3827,58559,3555,96079,5152
1204,293,4327,858,6378,4535,608,590,5867,1610
46976,99114,4011,4002,115713,8528,8641,3255,2502,8529
161,296,457,377,380,474,590,36,367,47
69122,69757,7444,5066,4447,4306,81847,2144,7169,7293
4226,1059,4014,253,5952,7153,778,1193,2762,2858
588,595,111,0,0,0,0,0,0,0
830,2688,2124,58803,410,3534,3868,6953,765,7444
5,1234,2699,1396,543,2302,2395,0,0,0
160718,81847,60069,98243,108932,134853,152081,68954,356,4308
788,741,1334,1391,1037,0,0,0,0,0
648,52,780,733,786,784,653,3,494,5
788,104,837,785,799,813,852,840,1359,1409
858,6016,1207,50,593,296,61323,88129,72011,57669
94959,89904,1682,56715,168492,158966,140174,8784,4878,1246
164179,0,0,0,0,0,0,0,0,0
1580,2724,1923,1917,1911,1883,3793,3555,1200,3578
3096,3099,3134,3152,947,945,936,930,923,3224
3752,1961,953,3617,3174,2770,1193,2686,2392,2724
27674,327,58293,6383,55282,2948,2723,2605,0,0
4246,47099,56367,65230,69757,104374,1265,97304,6942,140110
608,1713,1748,2023,1277,2324,1221,2387,3683,1627
1148,38038,318,3429,47610,1,48,52287,2080,2018
16,280,508,261,515,62,608,36,17,356
1407,1676,1515,1722,1726,0,0,0,0,0
3578,3527,1580,480,1291,1240,4440,1200,1101,589
1197,3256,3996,4085,5418,2353,5445,2571,2019,908
26662,3000,32587,33166,588,5690,50,1617,4963,4306
4993,33794,34405,353,223,2502,4011,3793,5650,1291
1247,1248,1950,750,608,1089,33564,858,8949,8228
2028,3160,3536,899,914,934,953,1028,1721,1682
539,587,282,500,266,356,597,48,454,5
994,1104,1148,1193,1208,800,29,318,596,661
1125,2770,2072,1215,1272,2313,0,0,0,0
500,141,17,587,586,410,253,597,0,0
457,316,480,236,520,539,553,648,592,150
32289,44613,3969,8643,56949,58107,2300,33880,33145,8362
457,168,553,593,733,110,47,380,377,434
926,922,912,858,1939,1945,78499,77846,948,971
2329,2858,457,4967,1193,357,5225,4973,38061,2571
110,589,377,736,780,349,380,3,434,457
4993,1196,1198,2717,2641,2571,2021,1242,315,2723
34,587,236,539,371,339,597,225,62,415
1243,899,1968,608,4349,296,750,1279,1227,16
1370,1610,457,589,1036,2947,2058,1196,2534,2993
119145,58559,48780,4226,122912,122918,110102,112290,106920,114935
2396,3481,4308,4878,1393,223,1767,1288,5804,5377
905,2617,2640,1028,1196,1198,1210,2987,1265,1301
1201,1209,1921,3504,3949,922,3091,39869,7976,3681
2312,356,2359,2436,2918,1028,3097,914,899,898
54286,4993,3578,2571,33794,91529,0,0,0,0
4973,527,2324,81834,88125,7323,6708,5989,30749,7451
175,213,229,265,668,337,347,85,17,32
185,380,349,316,590,315,292,160,288,0
1196,7153,97938,7147,1270,1197,1198,480,0,0
552,315,1252,1500,1653,2406,168,163,0,0
50,235,296,4034,2763,2692,4448,2501,4995,2391
733,58559,3578,134130,59315,51935,6378,1036,1552,68954
589,2628,296,293,1377,1240,1882,50,1729,153
3147,36,50,47,32,296,4963,2023,2692,1617
5995,1178,1610,527,923,541,912,4427,1240,1304
38061,4025,1042,33679,1210,32587,31878,2918,46578,1500
1639,1721,1909,1923,1968,2028,2136,2141,2245,2248
2948,593,589,1196,1198,1200,1500,1587,1374,1218
7153,590,296,56174,4022,40815,8368,31,4896,520
58803,48780,7147,5949,4878,3949,2959,2329,91658,1136
91542,6874,77561,81834,7153,8368,68157,69844,88125,3033
25,17,783,140,62,0,0,0,0,0
2021,2991,1283,2329,3263,3740,100,2193,0,0
2762,2353,110,2058,1210,589,2628,1610,733,2427
60684,4993,1198,1291,64614,51255,356,1704,2959,2858
112852,122886,122918,5378,33493,2571,1527,1210,1196,69844
89745,2959,3578,1704,318,49272,58559,260,3638,95510
1080,112552,72226,99114,4016,2959,48394,318,174909,94959
2402,7153,5418,58559,5219,76251,78499,86142,4306,5507
802,17,83,62,25,0,0,0,0,0
1172,318,1704,63082,4019,2692,2762,2959,912,4963
3421,2300,3685,1230,1238,3507,3543,1641,1288,2863
1196,1198,1210,2115,648,1291,1580,2391,2640,480
1307,2699,345,471,2657,2502,1090,2302,0,0
51255,38061,1527,54997,318,2571,4963,260,2858,50
1270,60069,1206,8360,45517,7147,6377,5218,4896,4306
1245,6016,296,111,6796,32,903,608,7056,1945
1270,858,81932,5989,97304,4995,48516,68157,4239,8958
318,2762,2316,2144,2396,6711,7541,2997,1265,1704
2174,2248,2791,2797,2804,2915,2918,3072,3301,3358
1895,785,2797,231,223,2327,2248,2423,2302,2371
5650,216,223,231,2502,671,6188,3253,1732,46578
7371,47,8914,48774,56782,63082,296,593,858,1961
2571,1590,3555,3113,3005,2722,2013,1373,1196,858
34,527,342,345,357,364,539,440,475,500
6539,33794,8644,33679,6934,5349,41569,5459,6365,8636
2571,1200,260,54286,1291,1240,1198,1196,0,0
2028,2329,2762,58559,3147,3578,5152,44191,318,68358
3949,2028,2329,2959,5954,1258,30707,81591,99114,778
594,2355,2141,3114,2081,2080,24,1907,1566,2987
25,508,590,265,318,515,509,454,0,0
2596,2580,2572,1278,2542,3052,1387,2447,1982,1997
7361,1203,44555,63082,7980,2858,2505,356,0,0
4803,4848,4917,4238,3101,1092,3528,1221,593,858
1206,6,1221,2542,2502,296,35836,47,32,44665
2,383,673,19,150,551,588,590,364,239
7371,4973,3910,106920,8973,44694,46578,60950,86320,104841
593,47,318,111,225,454,337,266,0,0
466,434,377,353,227,193,736,112,165,161
1242,10,1356,1408,1610,1785,1957,2490,2716,3082
162,581,745,1148,1361,2064,0,0,0,0
3081,2124,7669,7486,6942,5646,5013,7361,4848,410
8950,2078,4878,1193,588,356,50,364,115713,3114
60069,147384,5218,151763,115617,4886,4306,6377,177765,0
32587,115569,48516,4226,74458,88129,47,110,32,97304
6983,4921,1035,1246,3101,3408,2407,3499,45,8880
608,593,296,293,111,0,0,0,0,0
2321,6377,364,78499,106696,95167,1,66097,50872,8961
1271,1225,48394,608,6016,44555,66371,926,6385,55069
32587,356,296,48516,2858,2028,2762,2959,5995,5319
1210,1663,3552,2716,344,2907,1739,2542,1394,1863
293,442,53972,8529,6942,5171,4992,4701,69524,64969
420,653,2791,2406,112,784,370,494,1500,0
48394,2959,2571,1197,48774,2762,70286,122918,122916,0
1784,5945,32,4018,7149,7361,4014,410,0,0
111,47,2692,296,6288,4034,6016,456,8645,2186
8914,2194,68237,356,296,3949,81591,1089,48780,318
28,36,515,230,290,318,428,509,540,640
1704,1183,17,8638,7361,8970,6711,8014,3155,2028
1250,1035,4896,5952,7303,5816,1376,527,150,7841
1374,2571,316,1196,260,3793,1945,2985,1356,1276
1297,1288,1285,1261,1213,1206,1663,1089,3108,3060
1356,1270,1240,1200,1210,1197,480,3578,1093,150
1252,1964,1673,1094,2351,2858,50,2925,213,858
74,724,783,778,79,81,0,0,0,0
36,58,608,6,628,79,0,0,0,0
2791,6658,0,0,0,0,0,0,0,0
50872,134853,0,0,0,0,0,0,0,0
345,471,497,514,588,21,224,223,171,595
4262,2959,1258,318,253,356,1193,1206,30745,1089
2518,2575,2624,2671,2761,2791,2797,2918,2935,2937
356,344,1042,104,88,62,837,765,728,637
786,780,736,719,653,836,260,104,849,1167
318,2427,3105,3148,0,0,0,0,0,0
1036,91529,104879,96079,541,296,260,1291,115149,115569
1035,2859,72641,5989,33672,50442,81845,71619,80463,70984
2329,7325,3911,5377,2858,3861,4214,2694,8361,1381
1136,4995,919,1270,858,5989,4239,2011,1884,2231
356,1704,1517,1120,587,0,0,0,0,0
237,367,165,480,500,377,95,589,32,592
1968,858,1276,2804,1945,296,6978,4091,1285,4447
296,6086,110,47,6,4148,593,527,4034,4963
4973,4979,5673,5992,6296,6620,3949,247,471,5791
32,110,4226,6620,3006,1960,1957,2501,1748,8880
2174,16,1258,7028,1208,1080,6125,266,2797,708
1084,1196,2731,296,260,246,1945,111,1947,1950
40815,8368,5816,118696,106489,7153,0,0,0,0
87869,595,2085,356,364,5299,5218,1,5444,6753
2411,1617,608,2003,344,4558,0,0,0,0
1275,1194,2301,3108,417,3040,441,2915,2148,356
1089,555,296,70,50,858,7438,6874,1221,6016
4144,1704,356,318,2028,527,48394,296,0,0
319,1617,1343,866,593,482,608,2952,47,111
296,1222,2931,1247,26471,1208,54503,2109,2858,1278
3753,3717,3624,3555,3793,1961,1258,1198,3316,3452
48394,7361,6711,112556,527,2324,1172,112552,2959,5995
1961,1193,2329,48516,56782,30707,36,47,50,296
858,47,25,17,36,707,628,458,0,0
1356,3527,3702,3703,3793,2571,1240,1210,1097,1200
1079,954,595,3114,46,357,11,224,1485,1396
2006,7438,7439,7482,7981,8644,32587,33166,33794,36529
136016,115664,115617,134853,133419,117590,97913,110771,45720,68954
60069,3897,3535,8874,1031,68954,1215,48385,48082,49530
106642,5816,87234,40815,56367,2248,1197,5952,362,41566
912,1203,2028,7218,2132,971,4432,5398,6452,1944
745,3751,4306,2355,0,0,0,0,0,0
2291,40,1208,4936,0,0,0,0,0,0
1206,1210,260,541,5956,527,111,2916,2952,2890
1215,1449,1394,1885,1923,1285,101,2467,223,296
318,11,497,314,708,62,728,733,587,273
902,1947,1276,2136,2729,2870,2015,1028,2863,0
342,6874,3258,3535,2657,2502,5445,7438,4641,4025
4034,16,104879,91658,55820,48516,8798,858,593,50
86237,74226,72171,117531,171495,179135,84273,1245,184245,134796
2687,2571,58559,588,527,364,115617,106696,136864,69844
4387,59315,2058,42718,1013,3578,59900,3703,0,0
317,141,480,316,292,150,256,592,252,367
56367,296,44555,4973,2858,46578,608,1203,1265,2959
50,296,497,253,1094,1188,115569,1396,357,112290
3864,3910,2764,0,0,0,0,0,0,0
858,3435,3424,1090,1248,3200,3088,1179,1199,318
102194,58554,55247,5995,1619,40819,110,49530,356,48774
4388,8641,104,4015,953,44972,2706,3785,356,3617
1196,1198,1278,1028,2174,2761,2788,2791,6807,6936
1292,778,1193,1958,750,318,1252,0,0,0
48738,58,50,32,1225,1035,48516,5989,5294,4034
3969,48774,115713,48394,91658,112556,112552,6711,50,296
910,1079,1196,750,7090,6947,3996,6539,2905,2019
3578,3624,3618,3755,3753,3717,337,3580,3785,3623
50872,37729,1527,34405,1610,26776,3578,6377,6016,1196
356,593,1673,802,805,0,0,0,0,0
5445,296,293,163,50,1722,3147,3623,47,628
260,318,350,454,494,555,628,648,95,724
174053,2959,30749,0,0,0,0,0,0,0
3741,3578,3176,1617,3147,106100,106782,5445,5464,82378
150,253,356,454,0,0,0,0,0,0
2502,130087,111617,79134,2694,45672,135887,134853,94677,65088
2959,2706,3752,733,1198,2861,2722,2724,2805,2827
527,55363,541,1198,51255,3993,1200,1196,260,5219
2916,2858,260,2628,2571,111362,1210,380,356,318
779,838,2359,926,1203,7121,3534,6658,3247,7293
3160,3075,1208,1252,1345,2131,2160,2360,2858,3083
648,595,588,480,457,377,364,153,592,589
6016,608,296,593,858,8798,6953,5291,0,0
377,34,356,589,367,357,10,344,165,145
1210,786,494,32,849,836,832,95,736,733
48516,81591,88163,84392,7254,2231,40412,47,55052,5106
296,1089,104879,4034,48516,51540,6870,91658,51086,1729
32,22,25,364,454,595,229,225,509,588
6874,33166,2985,2278,4262,53996,50,70,1676,49272
3269,1721,3548,916,915,910,2915,3035,317,60
3477,3421,48342,2959,2918,48774,54503,55280,1732,1257
2160,2081,2067,1947,1704,1276,1258,1221,1207,1104
42728,70599,47610,8533,71579,7361,4308,48412,7254,69844
4995,1960,58,527,1277,2424,2407,224,2396,1416
