movieId,title,genres
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
3,Grumpier Old Men (1995),Comedy|Romance
6,Heat (1995),Action|Crime|Thriller
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
110,Braveheart (1995),Action|Drama|War
151,Rob Roy (1995),Action|Drama|Romance|War
157,Canadian Bacon (1995),Comedy|War
163,Desperado (1995),Action|Romance|Western
216,Billy Madison (1995),Comedy
223,Clerks (1994),Comedy
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
235,Ed Wood (1994),Comedy|Drama
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
316,Stargate (1994),Action|Adventure|Sci-Fi
333,Tommy Boy (1995),Comedy
349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
356,Forrest Gump (1994),Comedy|Drama|Romance|War
362,"Jungle Book, The (1994)",Adventure|Children|Romance
367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
423,Blown Away (1994),Action|Thriller
441,Dazed and Confused (1993),Comedy
457,"Fugitive, The (1993)",Thriller
480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
500,Mrs. Doubtfire (1993),Comedy|Drama
527,Schindler's List (1993),Drama|War
543,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller
552,"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance
553,Tombstone (1993),Action|Drama|Western
590,Dances with Wolves (1990),Adventure|Drama|Western
592,Batman (1989),Action|Crime|Thriller
593,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
596,Pinocchio (1940),Animation|Children|Fantasy|Musical
608,Fargo (1996),Comedy|Crime|Drama|Thriller
648,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller
661,James and the Giant Peach (1996),Adventure|Animation|Children|Fantasy|Musical
673,Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi
733,"Rock, The (1996)",Action|Adventure|Thriller
736,Twister (1996),Action|Adventure|Romance|Thriller
780,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller
804,She's the One (1996),Comedy|Romance
919,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical
923,Citizen Kane (1941),Drama|Mystery
940,"Adventures of Robin Hood, The (1938)",Action|Adventure|Romance
943,"Ghost and Mrs. Muir, The (1947)",Drama|Fantasy|Romance
954,Mr. Smith Goes to Washington (1939),Drama
1009,Escape to Witch Mountain (1975),Adventure|Children|Fantasy
1023,Winnie the Pooh and the Blustery Day (1968),Animation|Children|Musical
1024,"Three Caballeros, The (1945)",Animation|Children|Musical
1025,"Sword in the Stone, The (1963)",Animation|Children|Fantasy|Musical
1029,Dumbo (1941),Animation|Children|Drama|Musical
1030,Pete's Dragon (1977),Adventure|Animation|Children|Musical
1031,Bedknobs and Broomsticks (1971),Adventure|Children|Musical
1032,Alice in Wonderland (1951),Adventure|Animation|Children|Fantasy|Musical
1042,That Thing You Do! (1996),Comedy|Drama
1049,"Ghost and the Darkness, The (1996)",Action|Adventure
1060,Swingers (1996),Comedy|Drama
1073,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical
1080,Monty Python's Life of Brian (1979),Comedy
1089,Reservoir Dogs (1992),Crime|Mystery|Thriller
1090,Platoon (1986),Drama|War
1092,Basic Instinct (1992),Crime|Mystery|Thriller
1097,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi
1127,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller
1136,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy
1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
1206,"Clockwork Orange, A (1971)",Crime|Drama|Sci-Fi|Thriller
1208,Apocalypse Now (1979),Action|Drama|War
1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi
1213,Goodfellas (1990),Crime|Drama
1214,Alien (1979),Horror|Sci-Fi
1219,Psycho (1960),Crime|Horror
1220,"Blues Brothers, The (1980)",Action|Comedy|Musical
1222,Full Metal Jacket (1987),Drama|War
1224,Henry V (1989),Action|Drama|Romance|War
1226,"Quiet Man, The (1952)",Drama|Romance
1240,"Terminator, The (1984)",Action|Sci-Fi|Thriller
1256,Duck Soup (1933),Comedy|Musical|War
