movieId,imdbId,genres
1,0114709,Animation
3,0113228,Comedy
6,0113277,Crime
47,0114369,Crime
50,0114814,Crime
70,0116367,Action
101,0115734,Comedy
110,0112573,Biography
151,0114287,Adventure
157,0109370,Comedy
163,0112851,Action
216,0112508,Comedy
223,0109445,Comedy
231,0109686,Comedy
235,0109707,Biography
260,0076759,Action
296,0110912,Crime
316,0111282,Action
333,0114694,Adventure
349,0109444,Action
356,0109830,Drama
362,0110213,Adventure
367,0110475,Action
423,0109303,Action
441,0106677,Comedy
457,0106977,Action
480,0107290,Action
500,0107614,Comedy
527,0108052,Biography
543,0108174,Comedy
552,0108333,Action
553,0108358,Action
590,0099348,Adventure
592,0096895,Action
593,0102926,Crime
596,0032910,Animation
608,0116282,Crime
648,0117060,Action
661,0116683,Animation
673,0117705,Animation
733,0117500,Action
736,0117998,Action
780,0116629,Action
804,0117628,Comedy
919,0032138,Adventure
923,0033467,Drama
940,0029843,Action
943,0039420,Comedy
954,0031679,Comedy
1009,0072951,Adventure
1023,0063819,Animation
1024,0038166,Animation
1025,0057546,Animation
1029,0033563,Animation
1030,0076538,Animation
1031,0066817,Animation
1032,0043274,Animation
1042,0117887,Comedy
1049,0116409,Adventure
1060,0117802,Comedy
1073,0067992,Family
1080,0079470,Comedy
1089,0105236,Crime
1090,0091763,Drama
1092,0103772,Drama
1097,0083866,Family
1127,0096754,Adventure
1136,0071853,Adventure
1196,0080684,Action
1197,0093779,Adventure
1198,0082971,Action
1206,0066921,Crime
1208,0078788,Drama
1210,0086190,Action
1213,0099685,Biography
1214,0078748,Horror
1219,0054215,Horror
1220,0080455,Adventure
1222,0093058,Drama
1224,0097499,Action
1226,0045061,Comedy
1240,0088247,Action
1256,0023969,Comedy
1258,0081505,Drama
1265,0107048,Comedy
1270,0088763,Adventure
1275,0091203,Action
1278,0072431,Comedy
1282,0032455,Animation
1291,0097576,Action
1298,0084503,Animation
1348,0013442,Fantasy
1377,0103776,Action
1396,0105435,Comedy
1408,0104691,Action
1445,0119640,Action
1473,0118702,Action
1500,0119229,Action
1517,0118655,Adventure
1552,0118880,Action
1573,0119094,Action
1580,0119654,Action
1587,0082198,Action
1617,0119488,Crime
1620,0119468,Crime
1625,0119174,Action
1644,0119345,Horror
1676,0120201,Action
1732,0118715,Comedy
1777,0120888,Comedy
1793,0120491,Adventure
1804,0120769,Action
1805,0120890,Crime
1920,0122718,Action
1927,0020629,Drama
1954,0075148,Drama
1967,0091369,Adventure
2000,0093409,Action
2005,0089218,Adventure
2012,0099088,Adventure
2018,0034492,Animation
2028,0120815,Drama
2033,0088814,Animation
2046,0091059,Adventure
2048,0091149,Animation
2054,0097523,Adventure
2058,0120768,Action
2078,0061852,Animation
2090,0076618,Animation
2093,0089908,Adventure
2094,0102803,Action
2096,0053285,Animation
2099,0038969,Animation
2105,0084827,Action
2115,0087469,Action
2116,0077869,Animation
2137,0070016,Animation
2139,0084649,Animation
2141,0090633,Animation
2143,0089469,Adventure
2161,0088323,Adventure
2174,0094721,Comedy
2193,0096446,Action
2253,0105629,Adventure
2268,0104257,Drama
2273,0120812,Action
2291,0099487,Drama
2329,0120586,Drama
2338,0130018,Horror
2353,0120660,Action
2366,0024216,Adventure
2387,0124198,Comedy
2389,0155975,Horror
2395,0128445,Comedy
2406,0088011,Action
2414,0090357,Adventure
2427,0120863,Drama
2450,0091225,Action
2459,0072271,Horror
2470,0090555,Action
2478,0092086,Comedy
2492,0138987,Biography
2502,0151804,Comedy
2528,0074812,Action
2529,0063442,Adventure
2542,0120735,Comedy
2571,0133093,Action
2580,0139239,Comedy
2596,0133189,Comedy
2616,0099422,Action
2617,0120616,Action
2628,0120915,Action
2640,0078346,Action
2641,0081573,Action
2644,0021814,Fantasy
2648,0021884,Drama
2654,0034398,Horror
2657,0073629,Comedy
2692,0130827,Crime
2700,0158983,Animation
2716,0087332,Action
2761,0129167,Animation
2797,0094737,Comedy
2826,0120657,Action
2858,0169547,Drama
2872,0082348,Adventure
2899,0031397,Animation
2916,0100802,Action
2944,0061578,Action
2947,0058150,Action
2948,0057076,Action
2949,0055928,Action
2959,0137523,Drama
2985,0093870,Action
2987,0096438,Animation
2991,0070328,Action
2993,0059800,Action
2997,0120601,Comedy
3033,0094012,Adventure
3034,0070608,Animation
3052,0120655,Adventure
3053,0151137,Adventure
3062,0056197,Action
3147,0120689,Crime
3168,0064276,Adventure
3176,0134119,Crime
3243,0104187,Comedy
3247,0105417,Comedy
3253,0105793,Comedy
3273,0134084,Horror
3386,0102138,Drama
3439,0103060,Action
3440,0108308,Action
3441,0087985,Action
3448,0093105,Biography
3450,0107050,Comedy
3479,0089457,Adventure
3489,0102057,Adventure
3527,0093773,Action
3578,0172495,Action
3617,0215129,Comedy
3639,0071807,Action
3671,0071230,Comedy
